instance,start,neighbourhood,pivot,cost,time_in_seconds,deviation_percentage
N-t59f11xx_150,CW,Exchange,First-improvement,1516395,2.046000,+1.7709
N-t59f11xx_150,CW,Exchange,Best-improvement,1490938,0.391000,+3.4200
N-t59f11xx_150,CW,Insert,First-improvement,1528630,1.500000,+0.9783
N-t59f11xx_150,CW,Insert,Best-improvement,1522456,0.515000,+1.3783
N-t59f11xx_250,Random,Transpose,First-improvement,2807380,0.000000,+29.6926
N-t59f11xx_250,Random,Transpose,Best-improvement,2812452,0.000000,+29.5655
N-t59f11xx_250,Random,Exchange,First-improvement,3867492,22.516000,+3.1433
N-t59f11xx_250,Random,Exchange,Best-improvement,3858154,4.109000,+3.3772
N-t59f11xx_250,Random,Insert,First-improvement,3926619,17.156000,+1.6626
N-t59f11xx_250,Random,Insert,Best-improvement,3886358,3.750000,+2.6709
N-t59f11xx_250,CW,Transpose,First-improvement,3302880,0.000000,+17.2834
N-t59f11xx_250,CW,Transpose,Best-improvement,3308860,0.000000,+17.1336
N-t59f11xx_250,CW,Exchange,First-improvement,3880488,18.203000,+2.8179
N-t59f11xx_250,CW,Exchange,Best-improvement,3854897,3.625000,+3.4588
N-t59f11xx_250,CW,Insert,First-improvement,3931062,14.563000,+1.5513
N-t59f11xx_250,CW,Insert,Best-improvement,3910908,3.609000,+2.0560
N-t59n11xx_150,Random,Transpose,First-improvement,201789,0.000000,+36.7353
N-t59n11xx_150,Random,Transpose,Best-improvement,202344,0.000000,+36.5613
N-t59n11xx_150,Random,Exchange,First-improvement,309357,3.360000,+3.0107
N-t59n11xx_150,Random,Exchange,Best-improvement,309362,0.656000,+3.0092
N-t59n11xx_150,Random,Insert,First-improvement,311760,1.859000,+2.2573
N-t59n11xx_150,Random,Insert,Best-improvement,315761,0.688000,+1.0029
N-t59n11xx_150,CW,Transpose,First-improvement,268713,0.000000,+15.7534
N-t59n11xx_150,CW,Transpose,Best-improvement,268571,0.000000,+15.7979
N-t59n11xx_150,CW,Exchange,First-improvement,310877,1.750000,+2.5342
N-t59n11xx_150,CW,Exchange,Best-improvement,310185,0.500000,+2.7511
N-t59n11xx_150,CW,Insert,First-improvement,314014,1.578000,+1.5507
N-t59n11xx_150,CW,Insert,Best-improvement,312580,0.437000,+2.0003
N-t59n11xx_250,Random,Transpose,First-improvement,551214,0.000000,+33.2354
N-t59n11xx_250,Random,Transpose,Best-improvement,551318,0.000000,+33.2228
N-t59n11xx_250,Random,Exchange,First-improvement,804222,25.812000,+2.5903
N-t59n11xx_250,Random,Exchange,Best-improvement,790131,3.859000,+4.2971
N-t59n11xx_250,Random,Insert,First-improvement,807724,15.704000,+2.1662
N-t59n11xx_250,Random,Insert,Best-improvement,803197,3.938000,+2.7145
N-t59n11xx_250,CW,Transpose,First-improvement,677673,0.000000,+17.9183
N-t59n11xx_250,CW,Transpose,Best-improvement,677964,0.000000,+17.8831
N-t59n11xx_250,CW,Exchange,First-improvement,801422,18.110000,+2.9295
N-t59n11xx_250,CW,Exchange,Best-improvement,801661,3.750000,+2.9005
N-t59n11xx_250,CW,Insert,First-improvement,801407,12.438000,+2.9313
N-t59n11xx_250,CW,Insert,Best-improvement,807400,3.656000,+2.2054
